distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3;CLUSTERS
1.192312933;1.537499923;0.224996322;0.1371459;0.285008438;0.77625889;1.173703324;1.744018037;1.49848943;3
1.198632704;1.501024882;0.386806621;1.136496823;0.345427539;0.456030615;1.239585502;1.798885829;1.762997038;0
0.882748907;1.398139175;0.319653569;1.02506576;0.191432851;0.408215305;1.322798542;1.891929783;1.841566325;0
1.028486244;1.282547126;0.668692973;1.386327409;0.354473646;0.960278812;0.696914376;1.734957092;1.570176298;2
1.012011774;1.01891796;0.345006089;0.368736441;0.183791914;0.487544906;1.344117084;1.887339153;1.835302442;1
0.601156243;1.046754262;0.151493372;0.75951574;0.256374521;0.696337279;1.285301361;1.868117508;1.771648638;1
1.329935413;1.302288911;0.612131751;1.339376548;0.277880927;0.613659045;0.877533252;1.75516016;1.608997284;2
0.880673703;1.100015451;0.179943225;0.787170215;0.229072624;0.592001114;1.234067716;1.794053581;1.775487339;1
0.401300474;0.985602803;0.467302472;1.436447512;0.308640903;0.79021993;1.207418055;1.852093207;1.749675596;0
0.866218752;1.092044444;0.191362074;0.780111226;0.22702264;0.589617139;1.372430222;1.763183523;1.72439632;1
1.153071343;0.97011466;0.978459605;1.356082467;0.135315559;0.904896915;0.977750404;1.778060818;1.712796404;2
0.58267351;0.591239015;0.384210965;0.337691643;0.277518479;0.948170832;1.473433104;1.856380781;1.761976419;1
0.522077775;0.643371486;0.366416956;0.283692748;0.254659066;0.932715955;1.38661823;1.895194216;1.857899552;1
0.813020412;1.062667473;0.379585125;1.167744805;0.141611174;0.486187092;1.499837456;1.868762816;1.819011816;0
1.208840126;1.611895236;0.265585958;1.250960336;0.108963068;0.624904381;1.134375163;1.769063629;1.454117302;0
1.511739231;2.004321374;0.045805132;0.291009617;0.453254794;0.485535181;0.22660638;1.79456583;1.455742715;3
1.259274127;1.229431301;0.329291972;1.403155052;0.319454811;1.074667972;1.102178332;1.748044185;1.284884931;2
0.77598032;1.087449422;0.525071165;1.122957424;0.235355876;0.517568721;0.81487751;1.78093609;1.459742538;0
0.779946831;1.089566681;0.521466026;1.125673704;0.235511211;0.495126368;0.7331611;1.777225764;1.40801654;0
