ID;documento
1;Es común formar un contrato de arrendamiento de vivienda si una persona debe vivir en una casa de propiedad de otra persona. Los problemas del contrato de arrendamiento de viviendas están tradicionalmente regulados por las leyes contractuales. En el caso de Corea, el Código Civil los había dejado en manos de las partes contratantes. Sin embargo, a partir del siglo XX, los principales países intervienen positivamente en la relación de arrendamiento de viviendas entre particulares. La razón por la que intervienen es que la atención residencial adecuada es crucial tanto para la supervivencia de los individuos como para la supervivencia del Estado y la sociedad. En ese contexto, en 1981, Corea promulgó su Ley de Protección del Arrendamiento de Viviendas para la estabilidad de la vivienda de las personas. Si la intervención del Estado en la relación de arrendamiento de viviendas entre individuos surge del hecho de que las personas necesitan una vivienda para vivir y sobrevivir, ya sea el Código Civil coreano o la Ley de protección del arrendamiento de viviendas debe garantizar que la vivienda arrendada sea apta para la habitabilidad. Sin embargo, ni el Código Civil coreano ni la Ley de protección del arrendamiento de viviendas prevén la habitabilidad de las viviendas arrendadas. Además, el Tribunal Supremo de Corea no desarrolla jurisprudencia sobre habitabilidad. Es más, los teóricos jurídicos coreanos no desarrollan una teoría relacionada con la habitabilidad. Parece que la percepción general en la comunidad jurídica coreana es que el problema de habitabilidad de las viviendas en arrendamiento debería quedar en manos de arrendadores y arrendatarios. Es decir, la comunidad jurídica coreana admira los principios de la libertad de contratación y la autonomía privada. Sin embargo, en el ámbito del derecho contractual, existen varias reglas generales y reglas especiales además de la libertad de contratación y la autonomía privada. Normalmente, existe la regla de comerciabilidad según la cual un contrato debe ejecutarse con un objeto adecuado para la realización del propósito del contrato. Asimismo, existe la norma de habitabilidad en el contrato de arrendamiento de vivienda. Hoy en día se habla de derecho a la vivienda y se conciencia sobre la habitabilidad. Significa que es hora de que el sistema de arrendamiento de viviendas de Corea dé un salto a la siguiente etapa. En esta perspectiva, el autor propone introducir un sistema de inspección para confirmar la habitabilidad de la vivienda arrendada. Sobre la propuesta, los disidentes podrían objetar basándose en el principio de libertad de contratación y el principio de autonomía privada, la teoría de los costos de transacción o el activismo judicial. Por lo tanto, este artículo defendería esas objeciones.
2;Este estudio investiga los factores mensurables que influyen en el nivel de satisfacción residencial en unidades de vivienda de bajo costo en Mukalla, Yemen. La importancia de este estudio se debe al desarrollo de esta ciudad que ha estado influenciada por la arquitectura moderna desde la época colonial. Es tradición en Mukalla que la mayoría de la población viva en casas tradicionales (conocidas como casas torre) y modernas de media altura. El trabajo tiene como objetivo examinar el nivel de habitabilidad del diseño de casas modernas en comparación con el nivel de habitabilidad del diseño de casas tradicionales. El resultado muestra que los niveles de satisfacción de los encuestados que viven en viviendas tradicionales son generalmente más altos que los de las viviendas modernas. Los hallazgos del estudio indican que el diseño de la casa es un factor importante que determina el nivel de satisfacción residencial. Esta investigación aporta varias propuestas a partir de los resultados de la investigación considerados como guía de diseño de casas para que la autoridad local mejore la calidad de las unidades de diseño de casas modernas con referencia al diseño de casas tradicionales en el desarrollo presente y futuro. (C) 2011 Revista de transacciones internacionales de ingeniería, gestión y ciencias y tecnologías aplicadas. Algunos derechos reservados.
3;NOVEDAD - El método implica formar capas herméticas continuas a prueba de humedad sobre el pilar y los cimientos del suelo de una casa residencial, sellando así la zona del suelo. Se coloca otra capa a prueba de humedad sobre una superficie del suelo del subsuelo a una altura que no alcanza la humedad y se extiende con gel de sílice a temperaturas normales al aire libre. Bajo el suelo hay un deshumidificador. USO - Para prevenir la corrosión del suelo en viviendas residenciales. VENTAJA: Aumenta la durabilidad del suelo y del resto de la casa residencial, además de resistir la putrefacción. Previene la corrosión y la propagación de bacterias, manteniendo la habitabilidad en el interior de la vivienda. Mejora el ambiente térmico dentro de la casa. DESCRIPCIÓN DE LOS DIBUJOS: La figura muestra la vista esquemática en sección transversal del suelo de una casa residencial.
4;"Bueno, en la mayoría de los casos, los altibajos del alquiler representan la calidad de la casa de alquiler. Así, generalmente se piensa que el problema de habitabilidad de la casa de alquiler debe solucionarse únicamente entre las partes del contrato de alquiler. Sin embargo, ""vivienda"" tiene significados sociales, porque todo el mundo, como ser social, necesita una casa para vivir. En este sentido, podemos decir que el control de la habitabilidad es necesario no sólo para los inquilinos, sino también para la sociedad. es uno de los primeros países que desde finales del siglo XIX trabajó positivamente en el problema de habitabilidad de las casas de alquiler. Sin embargo, durante mucho tiempo los tribunales se negaron a gestionar el problema de la habitabilidad en el ámbito del common law. Por ello, los gobiernos estatales y los congresos estatales han manejado el problema de habitabilidad de las casas de alquiler como una especie de problema de seguridad y salud pública. Y con el tiempo, en la década de 1970, los tribunales estadounidenses finalmente cambiaron sus posturas y aceptaron la regla de la garantía implícita sobre la habitabilidad bajo el derecho consuetudinario. Tardíamente en la década de 2000, Corea comenzó a manejar el problema de la habitabilidad en las áreas administrativas. derecho y derecho público. Por eso ahora los tribunales y los juristas coreanos deben empezar a trabajar para desarrollar diferentes argumentos y teorías sobre la habitabilidad de las casas de alquiler en el ámbito del derecho civil. Desde un punto de vista histórico y jurídico comparado, el artículo 623 [Deber integral del arrendador], el artículo 618 [Definición de arrendamiento] y el artículo 580 [Responsabilidad del vendedor por garantía contra defectos] del Código Civil coreano podrían utilizarse eficazmente para la obra."
5;El propósito de esta investigación fue identificar las condiciones de habitabilidad que presenta la vivienda para familias de bajos ingresos en una zona de clima extremadamente cálido y seco como lo es Mexicali. Se realizó trabajo de campo, a través de encuestas. A partir de la opinión de los ocupantes de la vivienda se obtuvo su percepción sobre las condiciones espaciales, psicosociales y térmicas de su vivienda. Los resultados muestran que los aspectos psicosociales, como percepción de seguridad, privacidad y orgullo, se encuentran en niveles adecuados, sin embargo, la habitabilidad térmica mostró problemas a lo largo del año.
6;Colombia inició la década de los noventa con un cambio sustancial en su política habitual, pasando de ser un Estado promotor de vivienda para convertirse en un Estado regulador de su mercado sin parámetros de calidad que guíen su desempeño. Este cambio ha tenido repercusiones que aún no han sido evaluadas para orientar las políticas públicas y mejorar su eficiencia, por lo que persisten problemas de habitabilidad que sobrepasan la escala de la vivienda y se extienden a la construcción de la ciudad, y que exigen servicios públicos. , acciones concretas y urgentes. Esta afirmación surge de los resultados obtenidos en estudios recientes sobre el tema, estudios que se han realizado en desarrollos urbanos de vivienda social en Bogotá.
7;NOVEDAD - La casa residencial dispone de un dormitorio (55) provisto de un techo más bajo (56) y un techo más alto (57). Se forma un espacio para cama (60a) debajo del techo inferior, mientras que se forma un espacio de relajación (61a) debajo del techo más alto. USO - Ninguno dado. VENTAJAS - Mejora la habitabilidad en el interior de la habitación. Permite formar un gran ático por encima del techo inferior. DESCRIPCIÓN DE LOS DIBUJOS: La figura muestra la vista frontal del dormitorio de la casa residencial. Dormitorio (55) Techo inferior (56) Techo superior (57) Espacio para cama (60a) Espacio para relajación (61a)
8;"Este artículo pretende analizar en profundidad los tres elementos -habitabilidad, domesticidad y sociabilidad- que a lo largo de los primeros siglos modernos serían determinantes para evaluar el lento proceso de cambio que hace evolucionar desde un simple espacio habitable a un espacio cada vez más social. complejo; un evento iniciado en los inicios de la modernidad temprana y desarrollado en el período de la Ilustración."
9;"En los países en desarrollo, la toma de decisiones sobre antiguas casas rurales depende en gran medida de investigaciones de expertos sobre el terreno, que son criticadas por requerir muchos recursos. Este artículo tiene como objetivo construir un clasificador bayesiano eficiente para evaluaciones de riesgos de habitabilidad y seguridad de viviendas, que permita a personas sin experiencia en ingeniería civil emitir juicios comparables con expertos para que los niveles de riesgo de viviendas puedan verificarse periódicamente a bajo costo. Se identificó una lista inicial de factores de riesgo críticos para la seguridad y habitabilidad de la casa con una revisión de la literatura y se verificó mediante discusiones de expertos, encuestas de campo y la prueba de independencia Chi-cuadrado de Pearson con 864 muestras de cuestionarios. El modelo se construyó de acuerdo con el mecanismo causal entre los factores verificados y se cuantificó mediante el aprendizaje de parámetros de la red de creencias bayesianas. El modelo alcanzó tasas de precisión relativamente altas, que oscilaron entre el 91,3% y el 100,0% en diferentes situaciones, incluidas verificaciones cruzadas con muestras de juicios de expertos no utilizadas con datos de entrada completos, verificaciones cruzadas con muestras de juicios de expertos no utilizadas con datos de entrada faltantes y aquellas que involucran el juicio de los residentes locales. Los análisis de sensibilidad del modelo revelaron paredes; correas y armaduras de techo; y cimentaciones como los tres factores más críticos para la seguridad y el aislamiento e impermeabilización; agua y electricidad; y seguridad contra incendios para la habitabilidad. La lista identificada de factores críticos contribuye a las estrategias de evaluación y gestión de viviendas rurales para los países en desarrollo. Además, el clasificador bayesiano consolidado permite realizar controles internos periódicos de forma regular y económica."
10;NOVEDAD: Se proporcionan espacios residenciales de diferentes acimutes en el piso superior de una casa residencial para proporcionar iluminación y vistas desde diferentes direcciones en el piso superior. Los espacios residenciales están divididos entre sí y conectados con pasillos. El piso inferior de la casa está arreglado, por ejemplo. puertas. Cada historia asume cuatro esquinas. USO - Utilizado en, p.e. residencia colectiva en un edificio de gran altura con forma de torre. VENTAJA - Mejora la habitabilidad de la vivienda residencial. Proporciona excelente ventilación e iluminación para casa residencial. Ahorra energía necesaria para la casa residencial. Permite la adición de p.e. espacio de trabajo u otros espacios para casa residencial. DESCRIPCIÓN DE LOS DIBUJOS: la figura muestra la vista en planta de dos ejemplos de una casa residencial con múltiples acimutes.
