n;SI;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria
1;S;Stock trend forecasting in turbulent market periods using neuro-fuzzy systems;Atsalakis, George S. and Protopapadakis, Eftychios E. and Valavanis, Kimon P.;;;Springer Link;245--269;16;"This paper presents a neuro-fuzzy based methodology to forecast short-term stock trends during turbulent stock market periods. The methodology uses two adaptive neuro-fuzzy inference systems; the controller and the stock market process.The model is based on inverse control theory that simulates the stock market dynamics; enabling 1 day ahead forecasting. The proposed methodology is tested and evaluated using real stock shares data of the New York Stock Exchange.Data demonstrates transactions that occurred during four turbulent market periods: the Black Monday of October 19, 1987, the Russian crisis of 1998, the 11th of September 2001 crisis and the credit crisis of 2008.";;10.1007/s12351-015-0197-6;https://doi.org/10.1007/s12351-015-0197-6;;;;;1866-1505;;;
2;S;Impact of rail transit station proximity to commercial property prices: utilizing big data in urban real estate;Berawi, Mohammed Ali and Miraj, Perdana and Saroji, Gunawan and Sari, Mustika;;;Springer Link;71;7;Urban transport investments have contributed to the exponential increase of value from land and properties around the built infrastructure. Although literature had shown evidence of value uplift from the residential property due to transit development, little is known about the impact on commercial property values. This paper aims to evaluate the impact of rail transit proximity to the commercial property market by taking into account the pre-operation of the {LRT} project in Jakarta, Indonesia. This study utilizes a big data approach to accelerate research data processing by employing data mining method, as well as geographical information system ({GIS}) and hedonic price modeling ({HPM}) to investigate the property prices to formulate empirical evidence for the research. The results show opposite evidence compared to previous studies which argued that accessibility may contribute to the property price when closer to the transit station. The findings indicate that proximity to rail transit has an insignificant impact on the commercial property price compared to other variables such as building size, number of rooms, location, and hospitals. A comparison of the findings between this research with other studies was discussed and recommendation for further research development was proposed.;;10.1186/s40537-020-00348-z;https://doi.org/10.1186/s40537-020-00348-z;;;;;2196-1115;;;
3;S;Crossing the chasm: a ‘tube-map’ for agent-based social simulation of policy scenarios in spatially-distributed systems;Polhill, J. Gareth and Ge, Jiaqi and Hare, Matthew P. and Matthews, Keith B. and Gimona, Alessandro and Salt, Douglas and Yeluripati, Jagadeesh;;;Springer Link;169--199;23;"Agent based models ({ABMs}) simulate actions and interactions of autonomous agents/groups and their effect on systems as a whole, accounting for learning without assuming perfect rationality or complete knowledge. {ABMs} are an increasingly popular approach to studying complex, spatially distributed socio-environmental systems, but have still to become an established approach in the sense of being one that is expected by those wanting to explore scenarios in such systems. Partly, this is an issue of awareness – {ABM} is still new enough that many people have not heard of it; partly, it is an issue of confidence – {ABM} has more to do to prove itself if it is to become a preferred method. This paper will identify advances in the craft and deployment of {ABM} needed if {ABM} is to become an accepted part of mainstream science for policy or stakeholders. The conduct of {ABM} has, over the last decade, seen a transition from using abstracted representations of systems (supporting theory-led thought experiments) to more accessible representations derived empirically (to deliver more applied analysis). This has enhanced the perception of potential users of {ABM} outputs that the latter are salient and credible. Empirical {ABM} is not, however, a panacea, as it demands more computing and data resources, limiting applications to domains where data exist along with suitable environmental models where these are required. Further, empirical {ABM} is still facing serious questions of validation and the ontology used to describe the system in the first place. Using Geoffrey A. Moore’s Crossing the Chasm as a lens, we argue that the way ahead for {ABM} lies in identifying the niches in which it can best demonstrate its advantages, working with collaborators to demonstrate that it can deliver on its promises. This leads us to identify several areas where work is needed.";;10.1007/s10707-018-00340-z;https://doi.org/10.1007/s10707-018-00340-z;;;;;1573-7624;;;
4;S;Measuring objective and subjective well-being: dimensions and data sources;Voukelatou, Vasiliki and Gabrielli, Lorenzo and Miliou, Ioanna and Cresci, Stefano and Sharma, Rajesh and Tesconi, Maurizio and Pappalardo, Luca;;;Springer Link;279--309;11;Well-being is an important value for people’s lives, and it could be considered as an index of societal progress. Researchers have suggested two main approaches for the overall measurement of well-being, the objective and the subjective well-being. Both approaches, as well as their relevant dimensions, have been traditionally captured with surveys. During the last decades, new data sources have been suggested as an alternative or complement to traditional data. This paper aims to present the theoretical background of well-being, by distinguishing between objective and subjective approaches, their relevant dimensions, the new data sources used for their measurement and relevant studies. We also intend to shed light on still barely unexplored dimensions and data sources that could potentially contribute as a key for public policing and social development.;;10.1007/s41060-020-00224-2;https://doi.org/10.1007/s41060-020-00224-2;;;;;2364-4168;;;
5;S;Comparing {OLS} based hedonic model and {ANN} in house price estimation using relative location;Mankad, Mudit D.;;;Springer Link;;;Accurate house price estimation is of great importance not only to various real estates stakeholders such as house owners, buyers, investors, and agents but also to banking and insurance sectors among others. This estimation is a very challenging and complex task as it involves a variety of attributes. Among all attributes, location is one of the most influential attributes affecting house price. The present study has incorporated selected structural attributes and relative location through spatial attributes (geographical, infrastructural, and neighborhood) for modeling the influence of location on house prices. The hedonic model, a traditional method for estimating house price has been criticized due to nonlinearity, multicollinearity, and heteroskedasticity problems. Unlike the hedonic model, the Artificial Neural Network ({ANN}) permits nonlinear relationships and also tries to solve the problem of multicollinearity. The present study aims to examine the application of {ANN} in estimating accurate house prices and comparing the results with the Ordinary Least Squares ({OLS}) based hedonic model. The Gotri area located in the western part of Vadodara city, India is considered as a case study. {TensorFlow} (a python environment) of Google is used to implement the {ANN} model. In {ANN} model building, a three-layer network with a single hidden layer and {RELU} ({REctified} Linear Unit) activation function is adopted. The estimation performance has been evaluated by employing Root Mean Squared Error and Mean Absolute Percentage Error. According to results, {ANN} was found better when compared to {OLS} in terms of both the performance measures. This paper suggests that the {ANN} estimator could be a complement to the {OLS} based linear regression method.;;10.1007/s41324-021-00416-3;https://doi.org/10.1007/s41324-021-00416-3;;;;;2366-3294;;;
6;S;Extension of the {VIKOR} method for group decision making with extended hesitant fuzzy linguistic information;Ghadikolaei, Abdolhamid Safaei and Madhoushi, Mehrdad and Divsalar, Mehdi;;;Springer Link;3589--3602;30;Group decision-making approaches are very important due to the complexity and uncertainty of many real-world decision-making problems. Some of the decision-making problems are defined in qualitative frameworks. Extended hesitant fuzzy linguistic term set ({EHFLTS}) is proposed as a new and powerful tool for elicitation of hesitant qualitative information in group decision-making process. In this paper, we first introduced the comparison laws and a family of distance and similarity measures for extended hesitant fuzzy linguistic terms ({EHFLTs}) and {EHFLTSs}, respectively. Next, we developed the extended hesitant fuzzy linguistic ({EHFL})-{VIKOR} method as a qualitative multi-attributes group decision-making approach based on the {EHFLTS} distance measures to deal with the qualitative hesitancy in group decision making. Finally, we presented an application example about selection of suitable telecommunications service provider of small- and medium-sized enterprises to verify applicability and validation of proposed method in the process of qualitative group decision making.;;10.1007/s00521-017-2944-5;https://doi.org/10.1007/s00521-017-2944-5;;;;;1433-3058;;;
7;S;The random neural network in price predictions;Serrano, Will;;;Springer Link;;;"Everybody likes to make a good prediction, in particular, when some sort of personal investment is involved in terms of finance, energy or time. The difficulty is to make a prediction that optimises the reward obtained from the original contribution; this is even more important when investments are the core service offered by a business or pension fund. The complexity of finance is that the human predictor may have other interests or bias than the human investor, the trust between predictor and investor will never be completely established as the investor will never know if the predictor has generated, intentionally or unintentionally, the optimum possible reward. This article presents the random neural network ({RNN}) in a recurrent configuration for the 4th industrial revolution on a Fintech application; the {RNN} is proposed to make predictions on time series data, specifically, prices. The biological model inspired by the brain structure and neural interconnections make predictions entirely on previous data from the time series rather than predictions based on several uncorrelated inputs. The model is validated against the property, stock and Fintech market: (1) {UK} property prices, (2) stock market indice prices, (3) cryptocurrency prices. Experimental results show that the proposed method makes accurate predictions on different investment portfolios. The prediction accuracy of the proposed {RNN} model is compared against long short-term memory ({LSTM}) and linear regression ({LR}) models.";;10.1007/s00521-021-05903-0;https://doi.org/10.1007/s00521-021-05903-0;;;;;1433-3058;;;
8;S;Using exploratory regression to identify optimal driving factors for cellular automaton modeling of land use change;Feng, Yongjiu and Tong, Xiaohua;;;Springer Link;515;189;Defining transition rules is an important issue in cellular automaton ({CA})-based land use modeling because these models incorporate highly correlated driving factors. Multicollinearity among correlated driving factors may produce negative effects that must be eliminated from the modeling. Using exploratory regression under pre-defined criteria, we identified all possible combinations of factors from the candidate factors affecting land use change. Three combinations that incorporate five driving factors meeting pre-defined criteria were assessed. With the selected combinations of factors, three logistic regression-based {CA} models were built to simulate dynamic land use change in Shanghai, China, from 2000 to 2015. For comparative purposes, a {CA} model with all candidate factors was also applied to simulate the land use change. Simulations using three {CA} models with multicollinearity eliminated performed better (with accuracy improvements about 3.6\%) than the model incorporating all candidate factors. Our results showed that not all candidate factors are necessary for accurate {CA} modeling and the simulations were not sensitive to changes in statistically non-significant driving factors. We conclude that exploratory regression is an effective method to search for the optimal combinations of driving factors, leading to better land use change models that are devoid of multicollinearity. We suggest identification of dominant factors and elimination of multicollinearity before building land change models, making it possible to simulate more realistic outcomes.;;10.1007/s10661-017-6224-8;https://doi.org/10.1007/s10661-017-6224-8;;;;;1573-2959;;;
9;S;Calibrating nonparametric cellular automata with a generalized additive model to simulate dynamic urban growth;Feng, Yongjiu and Tong, Xiaohua;;;Springer Link;496;76;Understanding factors that drive urban growth is essential to cellular automata ({CA}) based urban modeling. Multicollinearity among correlated factors may cause negative effects when building {CA} transition rules, leading to a decrease in simulation accuracy. We use a nonparametric generalized additive model ({GAM}) to evaluate these relationships through flexible smooth functions to capture the dynamics of urban growth. A {GAM}-based {CA} (termed {GAM}-{CA}) model was then developed to simulate the rapid urban growth in Shanghai, China from 2000 to 2015. {GAM} highlights the significance of each candidate factor driving urban growth during the past 15 years. Compared to logistic regression, the {GAM}-{CA} transition rules fitted the observed data better and yielded improved overall accuracy and hence more realistic urban growth patterns. The new {CA} model has great potential for capturing key driving factors to simulate dynamic urban growth, and can predict future scenarios under various spatial constraints and conditions.;;10.1007/s12665-017-6828-x;https://doi.org/10.1007/s12665-017-6828-x;;;;;1866-6299;;;
10;S;A scientometric analysis of the housing affordability literature;Adabre, Michael Atafo and Chan, Albert P. C. and Darko, Amos;;;Springer Link;1501--1533;36;Interest in the global unaffordable housing crisis is evident in its burgeoning publications. However, systematic review of the literature is limited concerning data visualization and mapping of the knowledge structure and worldwide trend of publications on housing. This study seeks to fill this knowledge gap through a quantitative method—scientometric analysis. To this end, three networking tools—{CiteSpace}, {VOSviewer} and Gephi—were employed in analysing 11,981 bibliographic records retrieved from Scopus for two decades (1998–2017). The research findings are informative in identifying trends, linkages and gaps in the literature. Besides, they reveal collaboration pattern among countries, academic institutions and publication outlets of housing studies. These have practical implications for policymakers. The findings are indicative of pivotal areas of relatively low research outputs that can be the focus for further research. They are also important for efficient research and development policies for attaining the United Nations Sustainable Development Goals in housing.;;10.1007/s10901-021-09825-0;https://doi.org/10.1007/s10901-021-09825-0;;;;;1573-7772;;;
