latitud;longitud;precio_numero;anio_construccion;RAKING_TOTAL
-1.055710693;-80.45312498;112000;2023;22.92101714
-1.033712067;-80.46431399;164500;2012;21.26857602
-1.037089097;-80.46750629;93000;2017;23.47601144
-1.062069858;-80.47756363;89000;2024;19.21798786
-1.05106134;-80.45669825;116500;2017;25.06345185
-1.040848632;-80.47172795;160000;2010;25.10928393
-1.020517915;-80.46313972;63000;2023;19.92932186
-1.061712321;-80.46862899;74000;2009;24.75025872
-1.024477199;-80.47712843;84990;2023;22.09540475
-1.06157287;-80.46870409;85000;2009;24.78404012
-1.052025254;-80.48321611;39850;2017;19.58482671
-1.05477867;-80.45261965;83000;2001;24.80080402
-1.054606649;-80.45276303;92000;2004;25.06246051
-1.033945232;-80.46667605;230000;2012;23.82281605
-1.03322024;-80.47349143;100000;2024;21.48398766
-1.053384503;-80.44990876;35000;2022;21.21455624
-1.021870626;-80.47307094;150000;2019;19.73956016
-1.035096163;-80.4646914;83000;2024;23.04473617
-1.035107874;-80.46480072;105000;2024;23.08374665
-1.054293989;-80.46032084;148014.6347;2002;23.94015549
-1.055554173;-80.45215691;76000;2015;23.30697753
-1.030304143;-80.47007432;88000;2023;21.18546782
-1.055989596;-80.451977;48000;2006;23.71528085
-1.030653203;-80.46989032;93000;2023;21.64932095
-1.070661814;-80.44743452;75000;2017;22.92630513
-1.056049621;-80.45290217;260000;2000;23.35934737
-1.055527387;-80.45416316;350000;2008;24.04204579
-1.053166574;-80.45064101;48000;2006;26.77756216
-1.056924201;-80.45136906;250000;2020;24.48912043
-1.057199629;-80.45386801;39000;2017;23.37816456
-1.053812011;-80.44945572;45000;2009;21.8109085
-1.057502104;-80.45301769;86000;2023;24.21046459
-1.057759552;-80.45363997;50000;2021;23.76167233
-1.038288678;-80.46194239;260000;2016;21.4665181
-1.053458019;-80.45238469;48500;2023;24.82607724
-1.04848106;-80.46583998;260000;2000;22.82179023
-1.053468746;-80.45464848;46500;2009;26.09828902
-1.034897998;-80.45858814;148014.6347;2006;19.48497906
-1.034897998;-80.45858814;78000;2013;19.48497906
-1.053059343;-80.46018351;114000;1982;23.84133644
-1.047805256;-80.46645152;185000;2022;22.83027143
-1.04866422;-80.47104748;185000;2020;20.71561758
-1.049189044;-80.46457398;350000;2017;23.605231
-1.036099431;-80.46250417;400000;2017;20.30663808
-1.035208497;-80.46444141;125000;2017;22.78838997
-1.036775163;-80.46735561;93000;1995;23.09801341
-1.041504381;-80.470792;95000;2016;26.06666352
-1.048974503;-80.46487438;1190000;2012;23.41222947
-1.011526576;-80.46644204;220000;2019;17.59500043
-1.063516167;-80.45739305;150000;2017;22.593141
-1.039680742;-80.47316005;250000;2022;23.58946854
-1.015753076;-80.46502584;115000;2022;21.07830354
-1.04613683;-80.45883142;270000;2010;22.3834826
-1.047435464;-80.45764979;180000;2017;23.39554863
-1.063468322;-80.44577358;93000;2023;22.45508786
-1.0195699;-80.46191446;78000;2017;19.41746403
