latitud;longitud;precio_numero;num_banos;num_habitaciones;m2;anio_construccion;Parqueadero;Parque;Avenidas_principales;Colegios;Armario;Balcon;Patio;Bodega;Seguridad;OBJECTID;CODPAR;distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION
-1.055710693;-80.45312498;112000;4;3;135;2023;1;1;1;1;0;0;0;0;0;629;5795;0.511486799;0.822888654;0.165569407;0.023634493;0.233444136;0.372826043
-1.033712067;-80.46431399;164500;3;3;230;2012;1;1;1;1;0;0;1;1;0;627;5280;0.519294738;0.755737108;0.345318966;0.559951292;0.303991842;0.143230878
-1.037089097;-80.46750629;93000;3;3;93;2017;1;1;1;1;1;0;1;1;1;626;6770;0.239970916;0.594069742;0.262528651;0.425071112;0.141829796;0.121278914
-1.062069858;-80.47756363;89000;2;3;90;2024;0;0;1;0;0;0;0;0;0;632;5030;0.344102543;0.452743615;0.873365075;1.023397596;0.315424854;0.605068623
-1.05106134;-80.45669825;116500;3;4;93;2017;1;1;1;1;1;0;1;1;0;626;6770;0.330505486;0.241859552;0.292290764;0.065684445;0.135184641;0.159078157
-1.040848632;-80.47172795;160000;3;3;93;2010;0;1;1;1;1;1;1;0;1;626;6770;0.115372232;0.258577854;0.10357979;0.214134713;0.20328691;0.298841826
-1.020517915;-80.46313972;63000;2;2;75;2023;1;1;1;1;0;0;0;0;0;627;5280;0.710090612;0.474296828;0.738316765;0.914835818;0.225750565;0.235365892
-1.061712321;-80.46862899;74000;3;3;120;2009;1;1;1;1;0;0;1;1;0;632;5030;0.238726026;0.293712698;0.126337423;0.230584175;0.176326383;0.220640863
-1.024477199;-80.47712843;84990;3;3;97;2023;1;0;1;1;1;0;1;0;0;626;6770;0.065007231;0.223209549;0.462998419;1.152999186;0.259875998;0.387205417
-1.06157287;-80.46870409;85000;5;3;105;2009;1;1;1;1;0;0;1;1;0;632;5030;0.230217755;0.2881764;0.1358992;0.226285269;0.174369616;0.21906443
-1.052025254;-80.48321611;39850;2;4;110;2017;0;1;1;1;0;0;1;0;1;632;5030;0.465466981;0.215014505;2.024243321;0.952126179;0.095643463;0.524565258
-1.05477867;-80.45261965;83000;5;5;93;2001;1;1;1;1;1;1;0;1;0;626;6770;0.109682756;0.083634453;0.341875406;0.058665606;0.225362696;0.586581272
-1.054606649;-80.45276303;92000;3;4;93;2004;1;1;1;1;1;1;1;1;0;626;6770;0.09264045;0.095666637;0.318814877;0.04759104;0.201542547;0.563720232
-1.033945232;-80.46667605;230000;5;6;93;2012;1;1;1;1;1;1;1;1;0;626;6770;0.201234472;0.268627787;0.335789267;0.604415074;0.100532753;0.158371399
-1.03322024;-80.47349143;100000;4;3;138;2024;1;1;0;0;0;0;1;0;0;626;6770;0.532148223;0.978644448;0.204573974;0.739681827;0.075929765;0.243306073
-1.053384503;-80.44990876;35000;1;2;80;2022;0;1;0;0;0;0;0;0;0;630;6775;1.090249579;2.431464831;0.0309695;0.049012228;0.457074186;0.158032856
-1.021870626;-80.47307094;150000;4;4;200;2019;0;1;0;0;0;0;0;0;0;626;6770;0.60028522;0.399391214;0.273639261;1.065253972;0.27245894;0.807686161
-1.035096163;-80.4646914;83000;2;2;98;2024;0;1;0;0;0;1;0;0;0;626;6770;0.1830516;0.285030777;0.561956351;0.541657066;0.182381785;0.175284062
-1.035107874;-80.46480072;105000;2;3;112;2024;0;1;0;0;0;0;0;0;0;626;6770;0.184925439;0.286476059;0.555388202;0.545281671;0.1825326;0.163065267
-1.054293989;-80.46032084;148014.6347;6;5;300;2002;0;1;0;0;0;0;0;0;0;626;6770;0.016685448;0.497287361;0.463033392;0.260669295;0.086639901;0.352156547
-1.055554173;-80.45215691;76000;2;3;93;2015;1;1;1;1;1;1;1;0;0;629;5795;0.600085572;0.801776896;0.111525663;0.044312236;0.139950468;0.33876371
-1.030304143;-80.47007432;88000;4;3;103;2023;1;1;0;0;1;0;1;0;1;626;6770;0.384563402;0.645244856;0.262302675;0.546901872;0.305095917;0.424200534
-1.055989596;-80.451977;48000;1;2;93;2006;1;1;1;1;1;0;0;0;0;629;5795;0.584928703;0.749687544;0.059672112;0.09620233;0.10210727;0.286502641
-1.030653203;-80.46989032;93000;4;3;126;2023;1;1;0;0;1;1;0;0;1;626;6770;0.340709983;0.612089333;0.230706266;0.542416106;0.273477603;0.39362855
-1.070661814;-80.44743452;75000;2;3;93;2017;1;1;1;1;1;0;1;1;1;632;5030;0.46543668;0.263346013;0.472720228;0.201543363;0.310495741;0.194781309
-1.056049621;-80.45290217;260000;4;4;93;2000;1;1;1;1;1;0;1;1;0;629;5795;0.501761787;0.778405067;0.125692261;0.030206061;0.202621136;0.327766629
-1.055527387;-80.45416316;350000;7;6;93;2008;1;1;1;1;1;1;1;1;0;626;6770;0.11751436;0.272392443;0.279159973;0.231592168;0.1551602;0.496459187
