distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3
14.57087195;33.47465456;0.678789802;0.371342386;0.927562365;4.973912956;13.91774998;54.46487486;30.51297683
14.79911295;30.69749059;1.436725572;12.69294373;1.215274451;1.857791994;16.36143034;61.93407148;56.94247448
6.633942895;24.01146756;1.087630189;9.594141283;0.55393501;1.559854643;20.02802776;76.97040379;68.4330631
9.677909703;18.16669032;3.663295898;23.34038309;1.261901279;8.125965273;3.976389624;53.31966611;36.16860812
9.280441697;9.44522886;1.21312574;1.337418306;0.526834321;2.072875087;21.08600081;76.15057242;67.43880884
2.991684828;10.13664207;0.417403079;4.747986508;0.804573272;3.969781316;18.28862905;72.81039137;58.10832295
20.37644161;19.05805932;3.093848354;20.84623234;0.896185961;3.108270629;6.542811451;55.90627522;39.64407874
6.597552377;11.58970203;0.513363393;5.125904398;0.694621157;2.908418983;16.14224572;61.2377066;58.63309343
1.519419429;8.673926941;1.932935228;26.31791266;1.035358445;5.169073288;15.12196801;70.1366168;55.19214316
6.348839327;11.36073921;0.553681783;5.027139254;0.686640947;2.887023254;22.57383404;56.96736013;52.01470149
13.22562457;8.335007255;8.516113308;21.70295912;0.365575005;7.033354184;8.500586228;58.98750756;50.61743321
2.825370552;2.901566508;1.422205384;1.176164106;0.894604129;7.875050486;28.74631033;70.84239159;56.80646596
2.327191322;3.399177507;1.324967873;0.921731675;0.797459301;7.564774936;23.35668785;77.5586869;71.09407127
5.501602479;10.55227378;1.396542442;13.71447614;0.385514815;2.063282797;30.61094332;72.92014597;64.91918302
15.17484493;39.91619469;0.843257279;16.8221599;0.285177364;3.21603668;12.62621266;57.75754322;27.45229496
31.489216;100;0.111233004;0.954382735;1.839584482;2.05868801;0.685025121;61.31115916;27.55898149
17.16661979;15.96021297;1.13447942;24.30201171;1.08667499;10.87593937;11.65255786;54.98145546;18.27014273
4.970082321;11.23064673;2.350203324;12.27264334;0.719316678;2.292825539;5.529463671;59.38597602;27.82322274
5.024858222;11.29041878;2.322507929;12.35591676;0.719931741;2.126989106;4.409549516;58.87227544;24.5868333
0.106881204;20.00887109;1.933082695;5.817094485;0.328856113;4.69338157;19.41637164;51.8528099;12.09542688
17.1607837;32.60154266;0.450907814;0.846402847;0.546270616;4.511610756;14.63722902;69.35162478;66.80268897
10.86065807;26.12789958;1.086677333;12.39314004;1.219777159;5.67117994;15.6333766;65.45365082;46.57800245
16.7177194;30.4473008;0.232261041;2.038550945;0.391936109;3.802310921;8.080354887;68.44829811;57.65120007
9.57873868;24.75669774;0.953447251;12.29008189;1.090829365;5.256249599;15.6581011;63.26964108;41.90912184
13.22473881;10.33383722;1.973928412;4.458706748;1.241799061;2.557446878;15.50567072;70.52693169;81.05833275
14.28659123;31.63496177;0.510642989;0.522320765;0.801858071;4.36235572;24.77481337;69.89839962;68.3460278
3.05430333;10.70796739;1.157758171;5.149062516;0.6082999;6.651891809;37.49119974;68.68554356;57.63315221
5.942152043;3.346443169;0.067027227;2.747313686;0.886103814;0.858446089;9.330985446;68.51288539;68.79007704
16.86193286;25.58424993;0.284446082;1.130264627;0.32026398;2.21722407;31.07694786;64.83984656;63.14961819
9.455495555;29.21303369;0.969614282;0.843385034;0.833698614;4.387430083;4.460439535;61.30767983;40.69583974
29.88374621;97.14895885;0.142219269;0.342425093;1.560170474;1.222040881;7.24853426;69.62470168;43.54082612
11.22180019;25.91417372;0.689250092;1.118965546;0.426368984;3.033359566;17.95353733;73.62725539;79.25699204
9.042926633;26.51627047;0.993905047;1.001779898;0.664530784;3.77257334;12.14129548;68.27398992;62.816668
