titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,condicion,armarios_empotrados,terraza,balcon,garaje,calefaccion,aire_acondicionado
Piso en venta en calle Madre Ràfols,Ramón de Carranza - Madre Rafols,310000,1.0,1,0,Primeros_pisos,3.0,89,Segunda mano/buen estado,1,0,1,0,1,1
Piso en venta en calle Madre Ràfols,Ramón de Carranza - Madre Rafols,310000,1.0,1,0,Primeros_pisos,3.0,89,Segunda mano/buen estado,1,0,1,0,1,1
Piso en venta en calle Salado,Plaza de Cuba - República Argentina,390000,1.0,2,1,Bajo,3.0,134,Segunda mano/buen estado,1,1,0,1,1,1
Piso en venta en calle Asunción,Plaza de Cuba - República Argentina,1050000,1.0,2,1,Primeros_pisos,6.0,367,Segunda mano/buen estado,0,1,0,0,0,1
Piso en venta en Miño,Parque de los Principes - Calle Niebla,300000,1.0,2,0,Muchas_plantas,4.0,133,Segunda mano/para reformar,1,1,1,1,1,0
Piso en venta en calle Asunción,Plaza de Cuba - República Argentina,350000,1.0,2,0,Primeros_pisos,2.0,98,Segunda mano/buen estado,1,0,1,0,1,1
Ático en venta en calle Fernando IV s/n,Ramón de Carranza - Madre Rafols,535000,1.0,2,1,Ultimos_pisos,2.0,100,Segunda mano/buen estado,1,1,0,0,1,1
Piso en venta en avenida Flota de Indias,Ramón de Carranza - Madre Rafols,485000,1.0,2,1,Muchas_plantas,4.0,148,Segunda mano/buen estado,1,0,0,1,1,1
Piso en venta en calle Salado,Plaza de Cuba - República Argentina,350000,1.0,2,1,Primeros_pisos,2.0,118,Segunda mano/buen estado,1,0,0,1,1,1
Piso en venta en calle Juan Ramón Jiménez,Ramón de Carranza - Madre Rafols,350000,0.0,2,1,Primeros_pisos,3.0,168,Segunda mano/buen estado,1,1,1,0,0,1
Piso en venta en calle Asunción,Asunción - Adolfo Suárez,750000,1.0,3,1,Muchas_plantas,4.0,229,Segunda mano/buen estado,1,1,1,0,1,1
Piso en venta en calle Virgen de Todos los Santos,Parque de los Principes - Calle Niebla,185000,0.0,1,0,Muchas_plantas,3.0,67,Segunda mano/buen estado,0,0,0,1,1,1
Piso en venta en calle Virgen de la Cinta,Ramón de Carranza - Madre Rafols,548000,1.0,4,1,Muchas_plantas,6.0,194,Segunda mano/buen estado,1,1,1,1,1,0
Piso en venta en Juan Sebastián Elcano,Asunción - Adolfo Suárez,185000,0.0,1,0,Primeros_pisos,1.0,57,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en Virgen de la Estrella,Ramón de Carranza - Madre Rafols,355000,1.0,2,1,Bajo,3.0,97,Segunda mano/buen estado,1,0,0,0,0,1
Piso en venta en avenida de la República Argentina,Plaza de Cuba - República Argentina,895000,1.0,4,1,Ultimos_pisos,5.0,277,Segunda mano/buen estado,1,1,0,1,0,1
Piso en venta en avenida República Argentina,Plaza de Cuba - República Argentina,1090000,1.0,3,0,Primeros_pisos,6.0,308,Segunda mano/buen estado,1,0,0,1,0,1
Piso en venta en avenida de la Republica Argentina,Plaza de Cuba - República Argentina,680000,1.0,3,0,Primeros_pisos,5.0,247,Segunda mano/buen estado,1,0,0,1,1,0
Estudio en venta en calle Monte Carmelo,Asunción - Adolfo Suárez,220000,1.0,1,1,Ultimos_pisos,1.0,67,Segunda mano/buen estado,1,1,0,0,1,1
Ático en venta en avenida República Argentina,Plaza de Cuba - República Argentina,1300000,1.0,3,1,Muchas_plantas,5.0,325,Segunda mano/para reformar,1,1,0,1,1,1
Piso en venta en Virgen De La Antigua s/n,Ramón de Carranza - Madre Rafols,465000,1.0,2,1,Muchas_plantas,5.0,189,Segunda mano/para reformar,1,1,0,1,0,0
Piso en venta en Virgen Del Valle s/n,Asunción - Adolfo Suárez,495000,1.0,2,0,Primeros_pisos,5.0,194,Segunda mano/buen estado,1,1,1,0,0,0
